problem,preset,values,task,kernel,case_name,service_name,profile
matmul,default,"{""M"": 4096, ""N"": 12288, ""K"": 5120}",/home/ubuntu/patrick/AbstractOpt/AccelOptStep/NKIBench/reference/matmul_M4096_N12288_K5120_numpy_2.py,/home/ubuntu/patrick/AbstractOpt/AccelOptStep/NKIBench/kernels/matmul_M4096_N12288_K5120_0.py,matmul_K5120_M4096_N12288,matmul_K5120_M4096_N12288_ID0,"{""latency"": 32.9199805992, ""min_ms"": 29.205251437, ""max_ms"": 49.311853064000005, ""rel_diffs"": 0.688458432565557}"
rmsnorm_matmul,default,"{""M"": 4096, ""N"": 2048, ""K"": 1024}",/home/ubuntu/patrick/AbstractOpt/AccelOptStep/NKIBench/reference/rmsnorm_matmul_M4096_N2048_K1024_numpy_1.py,/home/ubuntu/patrick/AbstractOpt/AccelOptStep/NKIBench/kernels/rmsnorm_matmul_M4096_N2048_K1024_0.py,rmsnorm_matmul_K1024_M4096_N2048,rmsnorm_matmul_K1024_M4096_N2048_ID0,"{""latency"": 0.9615330989, ""min_ms"": 0.957485213, ""max_ms"": 0.964385734, ""rel_diffs"": 0.007206921742821786}"
silu,default,"{""M"": 4096, ""N"": 7168}",/home/ubuntu/patrick/AbstractOpt/AccelOptStep/NKIBench/reference/silu_M4096_N7168_numpy_0.py,/home/ubuntu/patrick/AbstractOpt/AccelOptStep/NKIBench/kernels/silu_M4096_N7168_0.py,silu_M4096_N7168,silu_M4096_N7168_ID0,"{""latency"": 1.2150971817000003, ""min_ms"": 1.212276619, ""max_ms"": 1.218373589, ""rel_diffs"": 0.0050293554329451096}"
